x,y,MIN_REL_HUMIDITY,STATION_NAME,TOTAL_RAIN_FLAG,LOCAL_DATE,LOCAL_MONTH,COOLING_DEGREE_DAYS,MEAN_TEMPERATURE_FLAG,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,ID,MAX_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,MAX_TEMPERATURE,SPEED_MAX_GUST,TOTAL_SNOW,PROVINCE_CODE,TOTAL_SNOW_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,LOCAL_DAY,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY_FLAG,TOTAL_RAIN,LOCAL_YEAR,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,MAX_REL_HUMIDITY,MIN_TEMPERATURE
-114.02027777777778,51.11388888888889,71,CALGARY INT'L A,,2000-01-01 00:00:00,1,0,,3031093,,3031093.2000.1.1,,,-5.7,0,1.8,AB,,0,,,0.6,1,,,0,2000,,0,,-10.4,,28.4,88,-15
-114.02027777777778,51.11388888888889,62,CALGARY INT'L A,,2000-01-02 00:00:00,1,0,,3031093,,3031093.2000.1.2,,,-14.9,0,9,AB,,0,,,3.2,2,,,0,2000,,3,,-20.3,,38.3,83,-25.7
-114.02027777777778,51.11388888888889,63,CALGARY INT'L A,,2000-01-03 00:00:00,1,0,,3031093,,3031093.2000.1.3,,,-6.3,0,0,AB,,0,,,0,3,,,0,2000,,9,,-15.7,,33.7,78,-25.1
-114.02027777777778,51.11388888888889,41,CALGARY INT'L A,,2000-01-04 00:00:00,1,0,,3031093,E,3031093.2000.1.4,,,5.1,61,0,AB,,27,,,0,4,,,0,2000,,8,,-2.2,E,20.2,73,-9.5
-114.02027777777778,51.11388888888889,43,CALGARY INT'L A,,2000-01-05 00:00:00,1,0,,3031093,E,3031093.2000.1.5,,,1.4,44,0,AB,T,4,,,0,5,T,,0,2000,,2,,-4,E,22,76,-9.4
-114.02027777777778,51.11388888888889,37,CALGARY INT'L A,,2000-01-06 00:00:00,1,0,,3031093,E,3031093.2000.1.6,,,5.1,61,0,AB,,27,,,0,6,,,0,2000,,1,,-3.4,E,21.4,78,-11.8
-114.02027777777778,51.11388888888889,34,CALGARY INT'L A,,2000-01-07 00:00:00,1,0,,3031093,E,3031093.2000.1.7,,,4.7,52,0,AB,,26,,,0,7,,,0,2000,,1,,0.6,E,17.4,45,-3.5
-114.02027777777778,51.11388888888889,33,CALGARY INT'L A,,2000-01-08 00:00:00,1,0,,3031093,E,3031093.2000.1.8,,,5.9,52,0,AB,,27,,,0,8,,,0,2000,,1,,-0.4,E,18.4,55,-6.7
-114.02027777777778,51.11388888888889,33,CALGARY INT'L A,,2000-01-09 00:00:00,1,0,,3031093,E,3031093.2000.1.9,,,1.8,37,0,AB,T,27,T,,0,9,T,,0,2000,,0,,-4.1,E,22.1,72,-10
-114.02027777777778,51.11388888888889,51,CALGARY INT'L A,,2000-01-10 00:00:00,1,0,,3031093,,3031093.2000.1.10,,,-3.9,0,0.4,AB,,0,T,,0.2,10,,,0,2000,,0,,-11,,29,78,-18.1
-114.02027777777778,51.11388888888889,56,CALGARY INT'L A,,2000-01-11 00:00:00,1,0,,3031093,,3031093.2000.1.11,,,-13.5,0,3.4,AB,,0,T,,2,11,,,0,2000,,0,,-17.7,,35.7,83,-21.8
-114.02027777777778,51.11388888888889,68,CALGARY INT'L A,,2000-01-12 00:00:00,1,0,,3031093,,3031093.2000.1.12,,,-13.7,0,2,AB,,0,,,0.6,12,,,0,2000,,3,,-16.5,,34.5,85,-19.2
-114.02027777777778,51.11388888888889,76,CALGARY INT'L A,,2000-01-13 00:00:00,1,0,,3031093,,3031093.2000.1.13,,,-15.6,0,2.4,AB,,0,,,1,13,,,0,2000,,5,,-18,,36,86,-20.3
-114.02027777777778,51.11388888888889,64,CALGARY INT'L A,,2000-01-14 00:00:00,1,0,,3031093,M,3031093.2000.1.14,,,-20,,3.4,AB,,,,,2,14,,,0,2000,,8,,-22.9,M,40.9,83,-25.8
-114.02027777777778,51.11388888888889,64,CALGARY INT'L A,,2000-01-15 00:00:00,1,0,,3031093,,3031093.2000.1.15,,,-20,0,0,AB,T,0,,,0,15,T,,0,2000,,10,,-23.3,,41.3,71,-26.5
-114.02027777777778,51.11388888888889,68,CALGARY INT'L A,,2000-01-16 00:00:00,1,0,,3031093,,3031093.2000.1.16,,,-12.3,0,0,AB,T,0,,,0,16,T,,0,2000,,9,,-17,,35,79,-21.7
-114.02027777777778,51.11388888888889,68,CALGARY INT'L A,,2000-01-17 00:00:00,1,0,,3031093,,3031093.2000.1.17,,,-11.8,0,0,AB,,0,,,0,17,,,0,2000,,8,,-15.7,,33.7,80,-19.5
-114.02027777777778,51.11388888888889,66,CALGARY INT'L A,,2000-01-18 00:00:00,1,0,,3031093,,3031093.2000.1.18,,,-12,0,1,AB,,0,,,0.4,18,,,0,2000,,8,,-17.2,,35.2,84,-22.4
-114.02027777777778,51.11388888888889,55,CALGARY INT'L A,,2000-01-19 00:00:00,1,0,,3031093,,3031093.2000.1.19,,,-5,0,0,AB,,0,,,0,19,,,0,2000,,9,,-13.2,,31.2,85,-21.3
-114.02027777777778,51.11388888888889,48,CALGARY INT'L A,,2000-01-20 00:00:00,1,0,,3031093,E,3031093.2000.1.20,,,2.2,48,0,AB,,27,,,0,20,,,0,2000,,9,,-10,E,28,73,-22.2
-114.02027777777778,51.11388888888889,47,CALGARY INT'L A,,2000-01-21 00:00:00,1,0,,3031093,E,3031093.2000.1.21,,,2.2,37,0.2,AB,,35,,,0.2,21,,,0,2000,,7,,-3.5,E,21.5,83,-9.2
-114.02027777777778,51.11388888888889,65,CALGARY INT'L A,,2000-01-22 00:00:00,1,0,,3031093,,3031093.2000.1.22,,,-5,0,0,AB,T,0,,,0,22,T,,0,2000,,6,,-8.2,,26.2,83,-11.4
-114.02027777777778,51.11388888888889,50,CALGARY INT'L A,,2000-01-23 00:00:00,1,0,,3031093,,3031093.2000.1.23,,,-2,0,0,AB,,0,,,0,23,,,0,2000,,5,,-8.2,,26.2,80,-14.3
-114.02027777777778,51.11388888888889,50,CALGARY INT'L A,,2000-01-24 00:00:00,1,0,,3031093,,3031093.2000.1.24,,,-3.6,0,0,AB,,0,,,0,24,,,0,2000,,4,,-10.2,,28.2,78,-16.7
-114.02027777777778,51.11388888888889,39,CALGARY INT'L A,,2000-01-25 00:00:00,1,0,,3031093,,3031093.2000.1.25,,,2.5,0,0,AB,,0,,,0,25,,,0,2000,,4,,-7.7,,25.7,83,-17.8
-114.02027777777778,51.11388888888889,55,CALGARY INT'L A,,2000-01-26 00:00:00,1,0,,3031093,,3031093.2000.1.26,,,3.4,0,0.2,AB,,0,,,0,26,T,,0,2000,,4,,-2.7,,20.7,84,-8.8
-114.02027777777778,51.11388888888889,41,CALGARY INT'L A,,2000-01-27 00:00:00,1,0,,3031093,,3031093.2000.1.27,,,1.4,0,0,AB,T,0,,,0,27,T,,0,2000,,4,,-3.8,,21.8,73,-8.9
-114.02027777777778,51.11388888888889,35,CALGARY INT'L A,,2000-01-28 00:00:00,1,0,,3031093,,3031093.2000.1.28,,,6,0,0,AB,,0,,,0,28,,,0,2000,,3,,-3.1,,21.1,83,-12.1
-114.02027777777778,51.11388888888889,34,CALGARY INT'L A,,2000-01-29 00:00:00,1,0,,3031093,,3031093.2000.1.29,,,5.6,0,0,AB,,0,,,0,29,,,0,2000,,3,,-3.5,,21.5,66,-12.5
-114.02027777777778,51.11388888888889,32,CALGARY INT'L A,,2000-01-30 00:00:00,1,0,,3031093,,3031093.2000.1.30,,,6.2,0,0,AB,,0,,,0,30,,,0,2000,,3,,-1.7,,19.7,66,-9.6
-114.02027777777778,51.11388888888889,33,CALGARY INT'L A,,2000-01-31 00:00:00,1,0,,3031093,E,3031093.2000.1.31,,,6,39,0,AB,,27,,,0,31,,,0,2000,,3,,-5.9,E,23.9,78,-17.7
-114.02027777777778,51.11388888888889,48,CALGARY INT'L A,,2000-02-01 00:00:00,2,0,,3031093,E,3031093.2000.2.1,,,6.5,52,0,AB,,25,,,0,1,,,0,2000,,3,,-0.9,E,18.9,68,-8.2
-114.02027777777778,51.11388888888889,48,CALGARY INT'L A,,2000-02-02 00:00:00,2,0,,3031093,E,3031093.2000.2.2,,,4.2,50,1.4,AB,,36,,,0.8,2,,,0,2000,,2,,-1,E,19,80,-6.1
-114.02027777777778,51.11388888888889,54,CALGARY INT'L A,,2000-02-03 00:00:00,2,0,,3031093,,3031093.2000.2.3,,,0.6,0,0,AB,,0,,,0,3,,,0,2000,,2,,-7.2,,25.2,87,-15
-114.02027777777778,51.11388888888889,51,CALGARY INT'L A,,2000-02-04 00:00:00,2,0,,3031093,,3031093.2000.2.4,,,-2.4,0,0,AB,,0,,,0,4,,,0,2000,,1,,-9,,27,81,-15.6
-114.02027777777778,51.11388888888889,46,CALGARY INT'L A,,2000-02-05 00:00:00,2,0,,3031093,,3031093.2000.2.5,,,-0.3,0,0,AB,,0,,,0,5,,,0,2000,,1,,-8.6,,26.6,79,-16.8
-114.02027777777778,51.11388888888889,47,CALGARY INT'L A,,2000-02-06 00:00:00,2,0,,3031093,,3031093.2000.2.6,,,-0.2,0,0,AB,,0,,,0,6,,,0,2000,,1,,-5.8,,23.8,65,-11.4
-114.02027777777778,51.11388888888889,41,CALGARY INT'L A,,2000-02-07 00:00:00,2,0,,3031093,,3031093.2000.2.7,,,9.6,0,0,AB,,0,,,0,7,,,0,2000,,1,,1.2,,16.8,72,-7.3
-114.02027777777778,51.11388888888889,43,CALGARY INT'L A,,2000-02-08 00:00:00,2,0,,3031093,E,3031093.2000.2.8,,,8.6,35,2.4,AB,,27,T,,2.2,8,,,0.2,2000,,0,,4.2,E,13.8,88,-0.3
-114.02027777777778,51.11388888888889,74,CALGARY INT'L A,,2000-02-09 00:00:00,2,0,,3031093,E,3031093.2000.2.9,,,-0.3,46,13.2,AB,,36,,,10,9,,,0,2000,,8,,-8.9,E,26.9,87,-17.4
-114.02027777777778,51.11388888888889,71,CALGARY INT'L A,,2000-02-10 00:00:00,2,0,,3031093,,3031093.2000.2.10,,,-14.8,0,5.6,AB,,0,,,4.2,10,,,0,2000,,17,,-16.3,,34.3,76,-17.7
-114.02027777777778,51.11388888888889,68,CALGARY INT'L A,,2000-02-11 00:00:00,2,0,,3031093,,3031093.2000.2.11,,,-14.6,0,0,AB,T,0,,,0,11,T,,0,2000,,18,,-18.6,,36.6,85,-22.5
-114.02027777777778,51.11388888888889,73,CALGARY INT'L A,,2000-02-12 00:00:00,2,0,,3031093,,3031093.2000.2.12,,,-13.4,0,0.8,AB,,0,,,0.2,12,,,0,2000,,16,,-17.4,,35.4,78,-21.3
-114.02027777777778,51.11388888888889,57,CALGARY INT'L A,,2000-02-13 00:00:00,2,0,,3031093,,3031093.2000.2.13,,,-8.8,0,0,AB,T,0,,,0,13,T,,0,2000,,17,,-15.2,,33.2,78,-21.6
-114.02027777777778,51.11388888888889,63,CALGARY INT'L A,,2000-02-14 00:00:00,2,0,,3031093,,3031093.2000.2.14,,,-11.8,0,0.4,AB,,0,,,0.2,14,,,0,2000,,16,,-18.1,,36.1,82,-24.3
-114.02027777777778,51.11388888888889,70,CALGARY INT'L A,,2000-02-15 00:00:00,2,0,,3031093,,3031093.2000.2.15,,,-7.4,0,3.8,AB,,0,,,2.6,15,,,0,2000,,17,,-10.2,,28.2,86,-13
-114.02027777777778,51.11388888888889,60,CALGARY INT'L A,,2000-02-16 00:00:00,2,0,,3031093,,3031093.2000.2.16,,,-6.2,0,0,AB,T,0,,,0,16,T,,0,2000,,17,,-13.7,,31.7,89,-21.1
-114.02027777777778,51.11388888888889,54,CALGARY INT'L A,,2000-02-17 00:00:00,2,0,,3031093,,3031093.2000.2.17,,,-4.4,0,0,AB,,0,,,0,17,,,0,2000,,16,,-12.1,,30.1,77,-19.8
-114.02027777777778,51.11388888888889,43,CALGARY INT'L A,,2000-02-18 00:00:00,2,0,,3031093,E,3031093.2000.2.18,,,0.2,37,0,AB,,28,,,0,18,,,0,2000,,15,,-10.3,E,28.3,76,-20.8
-114.02027777777778,51.11388888888889,44,CALGARY INT'L A,,2000-02-19 00:00:00,2,0,,3031093,,3031093.2000.2.19,,,3.9,0,0,AB,,0,,,0,19,,,0,2000,,14,,-1,,19,59,-5.8
-114.02027777777778,51.11388888888889,29,CALGARY INT'L A,,2000-02-20 00:00:00,2,0,,3031093,E,3031093.2000.2.20,,,6.8,52,0,AB,,27,,,0,20,,,0,2000,,13,,-3.4,E,21.4,55,-13.6
-114.02027777777778,51.11388888888889,46,CALGARY INT'L A,,2000-02-21 00:00:00,2,0,,3031093,E,3031093.2000.2.21,,,7.3,41,0,AB,,31,,,0,21,,,0,2000,,9,,1.3,E,16.7,63,-4.7
-114.02027777777778,51.11388888888889,56,CALGARY INT'L A,,2000-02-22 00:00:00,2,0,,3031093,,3031093.2000.2.22,,,6,0,0,AB,,0,,,0,22,,,0,2000,,7,,-2.3,,20.3,72,-10.5
-114.02027777777778,51.11388888888889,52,CALGARY INT'L A,,2000-02-23 00:00:00,2,0,,3031093,,3031093.2000.2.23,,,6.1,0,0,AB,,0,,,0,23,,,0,2000,,5,,1.9,,16.1,75,-2.4
-114.02027777777778,51.11388888888889,56,CALGARY INT'L A,,2000-02-24 00:00:00,2,0,,3031093,,3031093.2000.2.24,,,1.8,0,1,AB,,0,,,0.4,24,,,0,2000,,4,,-0.9,,18.9,79,-3.6
-114.02027777777778,51.11388888888889,35,CALGARY INT'L A,,2000-02-25 00:00:00,2,0,,3031093,,3031093.2000.2.25,,,2.9,0,0,AB,,0,,,0,25,,,0,2000,,5,,-3.7,,21.7,77,-10.3
-114.02027777777778,51.11388888888889,36,CALGARY INT'L A,,2000-02-26 00:00:00,2,0,,3031093,E,3031093.2000.2.26,,,3.9,39,0,AB,,29,,,0,26,,,0,2000,,5,,-5.1,E,23.1,74,-14
-114.02027777777778,51.11388888888889,44,CALGARY INT'L A,,2000-02-27 00:00:00,2,0,,3031093,,3031093.2000.2.27,,,1.5,0,0,AB,,0,,,0,27,,,0,2000,,5,,-6,,24,80,-13.5
